Designator,Footprint,Quantity,Value,LCSC Part #
"Bolt1, Bolt3",M3_Bolt,2,~,
"C1, C10, C11, C12, C2, C5, C6, C9",0603,8,1uF,
"C3, C8",0603,2,2.2uF,
C4,0603,1,4.7uF,
C7,0603,1,1uF(4.7uF),
Disp1,SSD1306_0.91_i2c,1,~,
J1,TE_84953-6_1x06-1MP_P1.0mm_Horizontal,1,Conn_01x06_Socket,
J2,PinHeader_1x03_P2.54mm_Horizontal,1,Conn_01x03_Socket,
"JP1, JP2, JP3",SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm_NumberLabels,3,SolderJumper_3_Bridged12,
R1,0603,1,390k,
"R11, R12, R13",0603,3,100k,
R2,0603,1,4.7k,
"R5, R6",0805,2,10k,
SW3,Direction3 Pin5,1,~,
U3,SSOP-20_4.4x6.5mm_P0.65mm,1,PCF8574ATS,
