Designator,Mid X,Mid Y,Rotation,Layer
Bolt1,96.266,-62.484,0.0,top
Bolt3,97.0,-129.75,0.0,top
C1,82.0,-78.5,270.0,bottom
C10,92.0,-117.25,0.0,top
C11,92.0,-120.27,0.0,top
C12,92.0,-123.27,0.0,top
C2,83.5,-78.5,90.0,bottom
C3,91.75,-78.5,90.0,bottom
C4,90.25,-78.5,270.0,bottom
C5,86.5,-78.5,90.0,bottom
C6,85.0,-78.5,90.0,bottom
C7,88.0,-75.0,90.0,bottom
C8,87.5,-104.0,270.0,bottom
C9,89.0,-104.0,270.0,bottom
Disp1,86.83,-92.5,90.0,bottom
J1,89.662,-56.46,180.0,top
J2,92.875,-94.225,180.0,top
R1,89.5,-75.0,90.0,bottom
R11,92.0,-118.77,0.0,top
R12,92.0,-121.738,0.0,top
R13,92.0,-124.77,0.0,top
R2,88.0,-78.5,90.0,bottom
R5,89.0,-55.0,0.0,bottom
R6,89.0,-53.0,0.0,bottom
SW3,87.5155,-120.904,90.0,top
U3,86.75,-107.0,180.0,top
