"ID";"指示符";"封装";"数量";"名称";"供应商和参考";
1;"R6,R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"10k";;;
2;"R8,R3,R12,R2,R10,R7,R13,R4,R11,R9,R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";11;"100k";;;
3;"Bolt2,Bolt3,Bolt1";"M3_Bolt";3;"~";;;
4;"J1";"TE_84953-6_1x06-1MP_P1.0mm_Horizontal";1;"Conn_01x06_Socket";;;
5;"SW3";"Direction3 Pin5";1;"~";;;
6;"U2";"OLED 0.96 i2c";1;"~";;;
7;"J2";"PinHeader_1x03_P2.54mm_Horizontal";1;"Conn_01x03_Socket";;;
8;"SW1";"GSMR_16";1;"~";;;
9;"U1";"SOP65P640X120-24N";1;"PCF8575PWR";;;
10;"SW2";"GSMR_10S";1;"~";;;
