Designator,Footprint,Quantity,Value,LCSC Part #
5V+1,SolderWirePad_1x01_SMD_5x10mm,1,5V+,
6V+1,SolderWirePad_1x01_SMD_1x2mm,1,6V+,
BAT+1,SolderWirePad_1x01_SMD_1x2mm,1,BAT+,
BAT-1,SolderWirePad_1x01_SMD_1x2mm,1,BAT-,
"BOLT1, BOLT2, BOLT3, BOLT4",MountingHole_3.2mm_M3_Pad,4,M3_BOLT,
C1,0805,1,4.7uf,
C10,0603,1,1uf,
C11,0603,1,22nf,
C12,0603,1,2nf,
"C13, C3, C8",0603,3,100nf,
C2,0805,1,10u,
C4,1206,1,1uf,
C5,1206,1,10uf,
C6,1206,1,22uf,
C7,0805,1,1u,
C9,1206,1,47uf,
"CHG1, D2, D3, D4, D5, STB1",0805,6,LED,
"D1, D6",D_SMA,2,SS34,
D7,D_SOD-323_HandSoldering,1,1N5819WS,
GND1,SolderWirePad_1x01_SMD_5x10mm,1,GND,
GND2,SolderWirePad_1x01_SMD_1x2mm,1,GND,
HOLE1,Tripod_hole,1,Tripod_hole,
J1,USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal,1,USB_C_Receptacle_PowerOnly_6P,
L1,L_APV_APH0650,1,4.7uH,
L2,L_APV_APH0650,1,3.3uH,
"R1, R13, R9",0603,3,1k,
"R10, R11",0603,2,5.1k,
R12,0603,1,100,
R14,0603,1,866,
R15,0603,1,330k,
R16,0603,1,51k,
"R2, R3, R4, R5",0603,4,3.3k,
R6,0603,1,39k,
"R7, R_PRG1",0603,2,10k,
R8,0603,1,60.4k,
S1,SW_SS12D07VG4,1,SS12D07VG4,
SX70_POGOPIN1,sx_70_pogopin_phi2mm,1,Sx70_Pogopin,
U1,SOT-23-6,1,TP4057,
U2,SOT-23-6,1,DW01A,
U3,SOT-23-6_Handsoldering,1,LN60A,
U4,HTSSOP-14-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask3x3.1mm,1,~,
"U5, U6, U7, U8",TSSOP-8_4.4x3mm_P0.65mm,4,~,
U9,SOT-23-6,1,TLV61048DBVR,
