Designator,Mid X,Mid Y,Rotation,Layer
C1,13.0,26.5,180.0,top
C10,27.75,65.0,90.0,top
C11,39.0,72.5,90.0,top
C12,28.5,75.0,180.0,top
C13,35.0,75.0,0.0,top
C2,12.25,33.5,0.0,top
C3,-1.335786,58.085786,180.0,top
C4,5.25,71.25,90.0,top
C5,17.6875,71.5,180.0,top
C6,42.5,73.225,90.0,top
C7,1.25,28.75,0.0,top
C8,40.5,72.5,90.0,top
C9,25.75,66.0,90.0,top
CHG1,11.5,18.5,270.0,top
D1,17.25,68.25,180.0,top
D2,6.0,13.25,270.0,top
D3,8.75,13.274999,270.0,top
D4,11.5,13.25,270.0,top
D5,14.25,13.25,270.0,top
D6,33.5,64.25,0.0,top
D7,24.5,61.5,0.0,top
HOLE1,35.0,25.0,270.0,top
J1,22.25,13.0,0.0,top
L1,8.75,64.25,0.0,top
L2,42.5,65.975,270.0,top
R1,16.5,31.5,0.0,top
R10,23.0,21.75,270.0,top
R11,21.25,21.75,270.0,top
R12,2.0,58.085787,180.0,top
R13,3.664214,54.085786,90.0,top
R14,31.75,75.0,0.0,top
R15,12.675,74.0,180.0,top
R16,9.25,74.000001,180.0,top
R2,1.25,23.0,0.0,top
R3,6.0,27.25,0.0,top
R4,6.0,25.75,0.0,top
R5,6.0,24.25,0.0,top
R6,26.25,71.975,0.0,top
R7,26.25,73.475,0.0,top
R8,26.250001,70.475,180.0,top
R9,16.5,28.5,0.0,top
R_PRG1,16.5,30.0,180.0,top
S1,-4.75,29.75,270.0,top
STB1,14.25,18.5,270.0,top
SX70_POGOPIN1,36.5,63.8,0.0,top
U1,13.0,30.25,90.0,top
U2,0.664214,55.085786,270.0,top
U3,1.75,25.75,180.0,top
U4,33.25,70.25,90.0,top
U5,0.664214,39.335786,270.0,top
U6,0.664214,50.530787,270.0,top
U7,0.664214,46.835786,270.0,top
U8,0.664214,43.085787,270.0,top
U9,10.5,70.0,0.0,top
