Ref,Val,Package,PosX,PosY,Rot,Side
D2,SFH2430,Osram_SFH2430,16.25,19.8,180,bottom
U4,OPTICAL-TSL2561T(6P-3.8X2.6MM),TMB6-1.55-3.8X2.6MM,16.25,19.8,90,bottom
Z1,~,Selector_default,11.6332,15.9508,0,bottom
Z2,~,Selector_default,77.6,20.5,90,bottom
Z3,~,Selector_default,71.5772,20.0172,90,bottom
C1,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,9.775,18.2,90,top
C2,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,24.6,20.325,90,top
C3,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,4,16.9,180,top
C4,0.1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,14.484,5.9,-90,top
C5,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,11.55,8.9,180,top
C6,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,5.625,19.075,90,top
C7,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,9.85,10.3,-90,top
C8,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,6.625,19.05,90,top
C9,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,14.6,8.3,-90,top
C10,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,19.304,20.322,0,top
C11,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,15.575,8.3,-90,top
C12,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,4,17.9,180,top
C13,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,10.775,18.975,90,top
C14,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,2.05,12.45,180,top
C15,13p,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,82.55,17.782,0,top
D1,1N4148WS,D_SOD-323,14.7,1.6,0,top
D3,1N4148WS,D_SOD-323,82.575,7,0,top
D4,1N4148WS,D_SOD-323,81.425,23.8,90,top
D5,LED,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,27.94,25.402,180,top
D6,LED,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,27.94,26.926,180,top
J1,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,29.8,11.425,0,top
J2,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,1.75,7.575,180,top
J3,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,26.2,11.425,0,top
Q1,Q_NMOS_GSD,SOT-23,82.575,9.65,0,top
Q2,Q_NMOS_GSD,SOT-23,85.25,25,180,top
Q3,Q_PMOS_GSD,SOT-23,83.058,14.48,90,top
Q4,MMBT3904,SOT-23,65.1025,22.928,180,top
R1,27.4,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,7.784,18.1,90,top
R2,27.4,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,8.8,18.1,90,top
R3,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,7.112,3.05,90,top
R4,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,8.128,3.05,90,top
R5,12k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,10.7025,3.5,0,top
R6,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,10.7025,2.5,180,top
R7,22k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,80.264,16.258,-90,top
R8,100k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,72.644,11.686,-90,top
R9,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,23.625,20.3,90,top
R10,12k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,22.6,20.3,-90,top
R11,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,13.2,22.9,0,top
R12,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,13.2,21.9,0,top
R13,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,73.152,18.798,180,top
R14,12k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,73.152,17.782,0,top
R15,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,71.628,16.766,180,top
R16,12k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,70.104,14.734,-90,top
R17,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,92.202,17.274,0,top
R18,12k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,93.98,16.004,-90,top
R19,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,91.932,15.4985,-90,top
R20,12k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,92.964,15.496,90,top
R21,100,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,87.5275,10.416,0,top
R22,100,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,79.075,8.034,90,top
R23,100k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,80.1,8.384,90,top
R24,100,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,78.925,21.45,-90,top
R25,100k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,79.925,21.475,90,top
R26,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,74.7,15.325,-90,top
R27,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,77.35,11.94,-90,top
R28,100k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,75.184,9.146,180,top
R29,180,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,15.24,3.05,180,top
R30,150,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,72.39,4.828,-90,top
R31,5.6k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,68.326,21.846,0,top
R32,47k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,63.246,24.894,-90,top
R33,2.7k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,77.216,21.338,-90,top
R34,330,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,10.922,21.846,0,top
R35,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,20.875,14.65,180,top
U1,RP2040,RP2040-QFN-56,15.4875,14.7375,90,top
U2,TLV70430DBVR,DBV0005A_N,11.425,6.606,180,top
U3,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,6.2,10,90,top
U5,AD8603,TSOT-23-5,77.47,16.512,90,top
U6,AD8603,TSOT-23-5,75.025,11.686,90,top
Y1,Crystal_GND2,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,21.7,17.25,90,top
